,composition,Charpy impact energy,Charpy impact energy-conditions,Charpy impact energy-units,Elongation,Elongation-conditions,Elongation-units,"Fracture toughness, K$_{IC}$","Fracture toughness, K$_{IC}$-conditions","Fracture toughness, K$_{IC}$-units","Ultimate tensile strength, UTS","Ultimate tensile strength, UTS-conditions","Ultimate tensile strength, UTS-units","Yield strength, YS","Yield strength, YS-conditions","Yield strength, YS-units",parse_comp
231,"[{'element': 'C', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.1'}}, {'element': 'Si', 'actualWeightPercent': {'value': '4.27'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '18.1'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.07'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.09'}}]",,,,4.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1839.6,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1736.3,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.02, 0.1, 4.27, 0.01, 18.1, 0.02, 0.01, 0, 0.01, 0.01, 0, 0.07, 0.09]"
232,"[{'element': 'C', 'actualWeightPercent': {'value': '0.29'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '1.02'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '10.46'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.1'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '7.17'}}, {'element': 'W', 'actualWeightPercent': {'value': '1.28'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.01'}}]",37.1,"{'name': 'Temperature', 'scalars': [{'value': '1026'}], 'units': '$^{\\circ}$C'}",J,14.0,"{'name': 'Temperature', 'scalars': [{'value': '1026'}], 'units': '$^{\\circ}$C'}",%,122.0,"{'name': 'Temperature', 'scalars': [{'value': '1026'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,1990.0,"{'name': 'Temperature', 'scalars': [{'value': '1026'}], 'units': '$^{\\circ}$C'}",MPa,1683.0,"{'name': 'Temperature', 'scalars': [{'value': '1026'}], 'units': '$^{\\circ}$C'}",MPa,"[0.29, 0.01, 0.01, 1.02, 10.46, 2, 0.1, 0, 0.01, 7.17, 1.28, 0.03, 0.01]"
233,"[{'element': 'C', 'actualWeightPercent': {'value': '0.24'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '9'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '2.8'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '1.3'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.29'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '12.4'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.02'}}]",,,,16.0,"{'name': 'Temperature', 'scalars': [{'value': '1025'}], 'units': '$^{\\circ}$C'}",%,37.0,"{'name': 'Temperature', 'scalars': [{'value': '1025'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,1956.8,"{'name': 'Temperature', 'scalars': [{'value': '1025'}], 'units': '$^{\\circ}$C'}",MPa,1570.9,"{'name': 'Temperature', 'scalars': [{'value': '1025'}], 'units': '$^{\\circ}$C'}",MPa,"[0.24, 0.01, 0.01, 9, 2.8, 1.3, 0.29, 0, 0.01, 12.4, 0, 0.03, 0.02]"
234,"[{'element': 'C', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '17.9'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '0.3'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.1'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '1.95'}}]",9.5,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",J,9.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1779.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1675.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.02, 0.01, 0.01, 0.01, 17.9, 0.3, 0.01, 0, 0.01, 0.01, 0, 0.1, 1.95]"
235,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.35'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.27'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.21'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.04'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.03'}}]",147.8,,J,18.0,,%,,,,1316.0,,MPa,1260.9,,MPa,"[0.04, 0.01, 0.01, 12.35, 8.27, 2.21, 0.01, 0, 0.01, 0.01, 0, 1.04, 0.03]"
236,"[{'element': 'C', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '14.5'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '0.92'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '15.4'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.41'}}]",,,,14.0,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",%,,,,1066.6,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",MPa,1039.0,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",MPa,"[0.02, 0.01, 0.01, 0.01, 14.5, 0.92, 0.01, 0, 0.01, 15.4, 0, 0.03, 0.41]"
237,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.52'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.63'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.1'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,13.1,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",%,,,,1546.1,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",MPa,1389.0,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",MPa,"[0.04, 0.01, 0.02, 12.52, 8.63, 2.1, 0.01, 0, 0.01, 0.01, 0, 1, 0]"
238,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '1.72'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '18.1'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.05'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.06'}}]",,,,8.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1192.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1136.9,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 1.72, 0.02, 0.01, 18.1, 0.02, 0.01, 0, 0.01, 0.01, 0, 0.05, 0.06]"
239,"[{'element': 'C', 'actualWeightPercent': {'value': '0.32'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.23'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '6.61'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '5.75'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.92'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '4.9'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,8.0,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",%,,,,1984.3,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",MPa,1681.2,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",MPa,"[0.32, 0.23, 0.01, 6.61, 0.01, 5.75, 0.92, 0, 0.01, 4.9, 0, 0.03, 0]"
240,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '5.1'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '11.2'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '5.1'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.94'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '6.3'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.09'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.78'}}]",,,,17.0,"{'name': 'Temperature', 'scalars': [{'value': '982'}], 'units': '$^{\\circ}$C'}",%,,,,1178.2,"{'name': 'Temperature', 'scalars': [{'value': '982'}], 'units': '$^{\\circ}$C'}",MPa,1047.3,"{'name': 'Temperature', 'scalars': [{'value': '982'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.01, 0.01, 5.1, 11.2, 5.1, 0.94, 0, 0.01, 6.3, 0, 0.09, 0.78]"
241,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.52'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.63'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.1'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",33.9,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",J,13.1,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",%,,,,1542.7,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",MPa,1389.7,"{'name': 'Temperature', 'scalars': [{'value': '927'}], 'units': '$^{\\circ}$C'}",MPa,"[0.04, 0.01, 0.02, 12.52, 8.63, 2.1, 0.01, 0, 0.01, 0.01, 0, 1, 0]"
242,"[{'element': 'C', 'actualWeightPercent': {'value': '0.15'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '14.48'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '5.06'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.46'}}, {'element': 'N', 'actualWeightPercent': {'value': '0.15'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.49'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.05'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,4.0,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",%,,,,2032.6,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",MPa,1164.4,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",MPa,"[0.15, 0.01, 0.01, 14.48, 0.01, 5.06, 0.46, 0.15, 0.01, 13.49, 0, 0.05, 0]"
243,"[{'element': 'C', 'actualWeightPercent': {'value': '0.36'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.21'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '7.72'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '5.71'}}, {'element': 'V', 'actualWeightPercent': {'value': '1.15'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '4.93'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,6.0,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",%,,,,2135.9,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",MPa,1819.0,"{'name': 'Temperature', 'scalars': [{'value': '1149'}], 'units': '$^{\\circ}$C'}",MPa,"[0.36, 0.21, 0.01, 7.72, 0.01, 5.71, 1.15, 0, 0.01, 4.93, 0, 0.03, 0]"
244,"[{'element': 'C', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.51'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.28'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.2'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.05'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.05'}}]",149.1,,J,19.0,,%,,,,1316.0,,MPa,1254.0,,MPa,"[0.03, 0.01, 0.01, 12.51, 8.28, 2.2, 0.01, 0.01, 0.01, 0.01, 0, 1.05, 0.05]"
245,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.49'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.3'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.21'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.02'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.09'}}]",63.7,,J,17.0,,%,,,,1412.5,,MPa,1378.0,,MPa,"[0.04, 0.01, 0.01, 12.49, 8.3, 2.21, 0.01, 0, 0.01, 0.01, 0, 1.02, 0.09]"
246,"[{'element': 'C', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.51'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.36'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.22'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.06'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.09'}}]",165.4,,J,19.0,,%,,,,1371.1,,MPa,1316.0,,MPa,"[0.03, 0.01, 0.01, 12.51, 8.36, 2.22, 0.01, 0, 0.01, 0.01, 0, 1.06, 0.09]"
247,"[{'element': 'C', 'actualWeightPercent': {'value': '0.21'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.5'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.55'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.94'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '1.98'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.08'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.75'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,16.1,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",%,135.9,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,1792.3,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,1421.5,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,"[0.21, 0.01, 0.5, 12.55, 0.94, 1.98, 0.01, 0, 0.08, 13.75, 0, 0.03, 0]"
248,"[{'element': 'C', 'actualWeightPercent': {'value': '0.15'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '14.13'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.14'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '4.8'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.21'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.33'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,19.1,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",%,42.0,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,1743.2,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,1388.1,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,"[0.15, 0.01, 0.01, 14.13, 0.14, 4.8, 0.21, 0, 0.01, 13.33, 0, 0.03, 0]"
249,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.49'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.3'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.21'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.02'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.09'}}]",93.6,,J,17.0,,%,,,,1412.5,,MPa,1378.0,,MPa,"[0.04, 0.01, 0.01, 12.49, 8.3, 2.21, 0.01, 0, 0.01, 0.01, 0, 1.02, 0.09]"
250,"[{'element': 'C', 'actualWeightPercent': {'value': '0.16'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '13.99'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '1.09'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '4.95'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.27'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.94'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,20.7,,%,83.0,,MPa m$^{0.5}$,1556.8,,MPa,1072.2,,MPa,"[0.16, 0.01, 0.03, 13.99, 1.09, 4.95, 0.01, 0, 0.27, 13.94, 0, 0.03, 0]"
251,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '17'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '4.8'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.34'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '8.7'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.39'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.67'}}]",,,,18.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1405.6,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1254.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.01, 0.01, 0.01, 17, 4.8, 0.34, 0, 0.01, 8.7, 0, 0.39, 0.67]"
